kepid,nkoi,teff,radius,mass,rrmscdpp03p0,rrmscdpp06p0,stellar_type
7584294,0,6003,1.085,1.0018,15.142,12.673,Sun-like
10094937,0,3900,0.522,0.5214,45.519,49.221,M-Dwarf
9071562,0,5588,1.009,0.884,18.62,15.496,Sun-like
4736074,0,4932,0.647,0.6356,21.725,21.526,Sun-like
8694381,0,5780,1.0,,13.746,17.671,Sun-like
10801273,0,3961,0.533,0.547,22.632,21.075,M-Dwarf
8349612,0,5815,0.874,0.777,19.395,15.473,Sun-like
7662428,0,6367,1.387,1.3104,16.514,17.118,Sun-like
8379927,0,6022,1.03,0.964,15.247,16.096,Sun-like
5217805,0,6047,1.005,0.9595,15.726,13.619,Sun-like
5724853,0,6032,1.458,0.9836,17.034,13.94,Sun-like
5094944,0,6279,1.457,1.2215,21.353,22.703,Sun-like
10129425,0,3890,0.49,0.5048,41.952,35.834,M-Dwarf
8316361,0,5767,1.81,1.0009,16.735,13.962,Sun-like
8739797,0,6228,1.138,1.1024,22.668,19.14,Sun-like
10477502,0,5568,0.8,0.7709,21.734,20.208,Sun-like
7801848,0,5734,0.883,0.982,17.552,17.828,Sun-like
6437648,0,4138,0.576,0.576,20.482,21.856,Sun-like
9604728,0,5432,0.794,0.818,20.733,19.217,Sun-like
6225718,0,6230,1.24,1.17,14.927,12.96,Sun-like
9673360,0,5780,1.0,,18.303,19.006,Sun-like
10866983,0,3908,0.597,0.5992,29.501,28.552,M-Dwarf
9217575,0,6406,0.94,1.024,22.484,17.682,Sun-like
12204797,0,6372,1.015,1.066,19.609,16.6,Sun-like
11559725,0,5659,0.856,0.8032,21.426,16.865,Sun-like
4931390,0,6557,1.41,1.37,19.694,18.388,Sun-like
7604944,0,5780,1.0,,13.279,15.334,Sun-like
5252698,0,3247,0.2,0.178,46.755,39.997,M-Dwarf
12507325,0,5780,1.0,,22.244,16.597,Sun-like
8217182,0,5945,1.153,0.981,21.257,20.706,Sun-like
9994044,0,6292,1.141,1.083,19.05,15.16,Sun-like
10866983,0,3921,0.6,0.602,33.266,32.813,M-Dwarf
8081256,0,5944,1.831,1.1059,19.393,15.293,Sun-like
8025283,0,5936,1.106,1.055,21.327,19.983,Sun-like
11506988,0,6223,1.794,1.158,21.919,19.353,Sun-like
11507895,0,5411,0.877,0.7811,22.365,18.049,Sun-like
9468112,0,5745,0.837,0.928,12.515,11.034,Sun-like
8869548,0,6695,1.702,1.3586,21.727,18.124,Sun-like
8424992,0,5807,1.06,0.96,20.556,16.741,Sun-like
9025370,0,5659,0.96,0.83,18.259,17.32,Sun-like
6976475,0,5655,0.93,1.0091,14.802,12.22,Sun-like
10456512,0,5465,0.704,0.762,18.712,16.193,Sun-like
6586053,0,6152,1.009,1.079,19.964,16.333,Sun-like
6516783,0,3877,0.586,0.5894,30.863,33.938,M-Dwarf
7300976,0,5877,1.063,0.979,22.193,17.742,Sun-like
12553408,0,6025,1.457,1.0354,22.026,19.692,Sun-like
9073458,0,6306,1.748,1.1806,18.388,14.801,Sun-like
4470779,0,5505,1.426,0.9198,21.251,16.944,Sun-like
12117868,0,6160,1.33,1.1,21.06,17.274,Sun-like
